district_id,district_name,division,internet_usage_pct,smartphone_ownership_pct,digital_skills_pct,male_usage_pct,female_usage_pct,gender_gap_pct,source_citation
chuadanga,Chuadanga,Khulna Division,44.8,40.1,28.0,51.5,38.1,13.4,Modeled Demonstration Inputs
meherpur,Meherpur,Khulna Division,43.2,38.7,26.8,49.9,36.5,13.4,Modeled Demonstration Inputs
magura,Magura,Khulna Division,42.6,38.0,26.4,49.3,35.9,13.4,Modeled Demonstration Inputs
narail,Narail,Khulna Division,43.5,39.0,27.1,50.2,36.8,13.4,Modeled Demonstration Inputs
barishal,Barishal,Barishal Division,51.8,46.9,33.2,58.4,45.2,13.2,Modeled Demonstration Inputs
patuakhali,Patuakhali,Barishal Division,38.9,34.4,23.5,45.6,32.2,13.4,Modeled Demonstration Inputs
bhola,Bhola,Barishal Division,32.5,28.1,18.9,39.2,25.8,13.4,Modeled Demonstration Inputs
pirojpur,Pirojpur,Barishal Division,46.1,41.4,28.9,52.8,39.4,13.4,Modeled Demonstration Inputs
barguna,Barguna,Barishal Division,34.2,29.8,20.1,41.0,27.4,13.6,Modeled Demonstration Inputs
jhalokati,Jhalokati,Barishal Division,47.0,42.3,29.6,53.7,40.3,13.4,Modeled Demonstration Inputs
sylhet,Sylhet,Sylhet Division,57.6,52.8,37.4,64.2,51.0,13.2,Modeled Demonstration Inputs
moulvibazar,Moulvibazar,Sylhet Division,46.3,41.6,29.0,53.0,39.6,13.4,Modeled Demonstration Inputs
habiganj,Habiganj,Sylhet Division,37.1,32.6,22.0,43.9,30.3,13.6,Modeled Demonstration Inputs
sunamganj,Sunamganj,Sylhet Division,31.4,26.9,17.8,38.0,24.8,13.2,Modeled Demonstration Inputs
rangpur,Rangpur,Rangpur Division,48.2,43.5,30.5,54.9,41.5,13.4,Modeled Demonstration Inputs
dinajpur,Dinajpur,Rangpur Division,44.6,39.9,28.0,51.3,37.9,13.4,Modeled Demonstration Inputs
gaibandha,Gaibandha,Rangpur Division,33.8,29.4,19.8,40.5,27.1,13.4,Modeled Demonstration Inputs
kurigram,Kurigram,Rangpur Division,29.1,24.8,16.2,35.6,22.6,13.0,Modeled Demonstration Inputs
lalmonirhat,Lalmonirhat,Rangpur Division,34.5,30.1,20.4,41.2,27.8,13.4,Modeled Demonstration Inputs
nilphamari,Nilphamari,Rangpur Division,37.0,32.5,22.1,43.8,30.2,13.6,Modeled Demonstration Inputs
panchagarh,Panchagarh,Rangpur Division,39.2,34.7,23.8,46.0,32.4,13.6,Modeled Demonstration Inputs
thakurgaon,Thakurgaon,Rangpur Division,38.0,33.5,22.9,44.8,31.2,13.6,Modeled Demonstration Inputs
mymensingh,Mymensingh,Mymensingh Division,46.5,41.8,29.2,53.2,39.8,13.4,Modeled Demonstration Inputs
jamalpur,Jamalpur,Mymensingh Division,34.0,29.6,20.0,40.7,27.3,13.4,Modeled Demonstration Inputs
netrokona,Netrokona,Mymensingh Division,30.2,25.9,17.1,36.8,23.6,13.2,Modeled Demonstration Inputs
sherpur,Sherpur,Mymensingh Division,25.9,21.5,14.0,32.4,19.4,13.0,Modeled Demonstration Inputs
